BCC, EMP, OP, EVENT, TIME, PTIME
bc567, 2019080801, op90, start1, 13/08/2019-08:54:44, 27.29477548599243
bc123, 2019010101, op90, start2, 13/08/2019-08:55:01, 7.9919281005859375
