BCC, EMP, OP, EVENT, TIME, PTIME
bc3450687, 2019080701, op78, finish1, 03/09/2019-17:15:37, 21.190064668655396
bc45678, 2019080801, op65, start1, 04/09/2019-16:49:18, 29.31364393234253
