BCC, EMP, OP, EVENT, TIME
bc00651767, 201606052, op70, start, 01/08/2019-10:37:37
bc00651767, 201606052, op70, finish, 01/08/2019-10:37:55
bc00651767, 201606052, op70, breakon, 01/08/2019-10:39:13
bc00651767, 201606052, op70, breakoff, 01/08/2019-10:39:26
